id_complex_composition,complex_multidata_id,protein_multidata_id,total_protein
0,342,201,2
1,342,202,2
2,343,203,2
3,343,202,2
4,344,204,2
5,344,201,2
6,345,205,2
7,345,206,2
8,346,205,2
9,346,207,2
10,347,205,2
11,347,208,2
12,348,204,2
13,348,206,2
14,349,204,2
15,349,207,2
16,350,204,2
17,350,208,2
18,351,203,2
19,351,206,2
20,352,201,2
21,352,206,2
22,353,201,2
23,353,207,2
24,354,203,2
25,354,207,2
26,355,212,2
27,355,213,2
28,356,214,2
29,356,213,2
30,357,215,2
31,357,213,2
32,358,216,2
33,358,213,2
34,359,217,2
35,359,213,2
36,360,218,2
37,360,213,2
38,361,219,2
39,361,213,2
40,362,220,2
41,362,213,2
42,363,221,2
43,363,213,2
44,364,212,2
45,364,222,2
46,365,214,2
47,365,222,2
48,366,215,2
49,366,222,2
50,367,216,2
51,367,222,2
52,368,217,2
53,368,222,2
54,369,218,2
55,369,222,2
56,370,219,2
57,370,222,2
58,371,220,2
59,371,222,2
60,372,221,2
61,372,222,2
62,373,224,2
63,373,225,2
64,374,225,2
65,374,226,2
66,375,234,2
67,375,235,2
68,376,241,2
69,376,239,2
70,377,241,2
71,377,242,2
72,378,243,2
73,378,244,2
74,379,245,2
75,379,246,2
76,380,246,2
77,380,244,2
78,381,247,2
79,381,248,2
80,382,252,2
81,382,253,2
82,383,252,2
83,383,254,2
84,384,192,2
85,384,253,2
86,385,193,2
87,385,253,2
88,386,255,2
89,386,253,2
90,387,256,2
91,387,253,2
92,388,258,2
93,388,253,2
94,389,234,2
95,389,253,2
96,390,285,2
97,390,286,2
98,391,285,2
99,391,287,2
100,392,285,2
101,392,288,2
102,393,285,2
103,393,289,2
104,394,290,2
105,394,286,2
106,395,290,2
107,395,287,2
108,396,290,2
109,396,288,2
110,397,290,2
111,397,289,2
112,398,285,2
113,398,290,2
114,399,298,2
115,399,253,2
116,400,299,2
117,400,253,2
118,401,300,2
119,401,253,2
120,402,252,2
121,402,301,2
122,403,141,2
123,403,310,2
124,404,140,2
125,404,311,2
126,405,286,2
127,405,337,2
128,406,253,2
129,406,338,2
